ano,nome,instituicao_ensino_aluno,idade_aluno,anos_pm,ponto_virada,inde,inde_conceito,pedra,destaque_ieg,destaque_ida,destaque_ipv,iaa,ieg,ips,ida,ipp,ipv,ian,fase,turma,sinalizador_ingressante,rec_ava_1,rec_ava_2,rec_ava_3,rec_ava_4,defasagem,fase_ideal,ano_ingresso,bolsista,cg,cf,ct,nota_port,nota_mat,nota_ing,qtd_aval,indicado_bolsa
2020,aluno1,Escola Pública,11,2,0.0,7.883752,B,Ametista,Seu destaque em 2020: A sua boa entrega das lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,8.500020000000001,8.7,7.5,7.0,5.9375,7.75,10.0,Fase 2,H,,,,,,,,,,,,,,,,,
2020,aluno2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,aluno3,Escola Pública,12,2,0.0,7.856389666666666,B,Ametista,Seu destaque em 2020: A sua boa entrega das lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,7.91667,8.9,7.5,5.5,8.125,8.111113333333334,10.0,Fase 3,H,,,,,,,,,,,,,,,,,
2020,aluno4,Escola Pública,10,2,0.0,5.076252,D,Quartzo,Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,8.000020000000001,4.1,6.875,0.0,7.1875,7.75,5.0,Fase 1,D,,,,,,,,,,,,,,,,,
2020,aluno5,Escola Pública,10,1,0.0,8.077085,B,Ametista,Seu destaque em 2020: A sua boa entrega das lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,7.50002,8.0,7.5,7.5,8.4375,8.166665,10.0,Fase 2,M,,,,,,,,,,,,,,,,,
2020,aluno6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,aluno7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,aluno8,Rede Decisão/União,14,3,1.0,8.381390666666666,B,Ametista,Seu destaque em 2020: A sua boa entrega das lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,8.33334,9.9,4.375,7.333333333333333,8.749999999999998,8.94445,10.0,Fase 4,L,,,,,,,,,,,,,,,,,
2020,aluno9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,aluno10,Escola Pública,13,1,0.0,5.1618745,D,Quartzo,Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,5.83333,5.2,3.75,0.0,7.96875,6.8333325,10.0,Fase 3,B,,,,,,,,,,,,,,,,,
