ano,nome,instituicao_ensino_aluno,idade_aluno,anos_pm,ponto_virada,inde,inde_conceito,pedra,destaque_ieg,destaque_ida,destaque_ipv,iaa,ieg,ips,ida,ipp,ipv,ian,fase,turma,sinalizador_ingressante,rec_ava_1,rec_ava_2,rec_ava_3,rec_ava_4,defasagem,fase_ideal,ano_ingresso,bolsista,cg,cf,ct,nota_port,nota_mat,nota_ing,qtd_aval,indicado_bolsa
2020,aluno384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,aluno802,Escola Pública,,,1.0,9.046,,Topázio,,,,9.5,10.0,7.5,7.9,8.8,9.4,10.0,ALFA,Q,Ingressante,Promovido de Fase + Bolsa,Mantido na Fase atual,Não avaliado,Não avaliado,0.0,ALFA  ,,,,,,,,,,
2020,aluno676,Escola Pública,16,2,0.0,3.925834666666667,D,Quartzo,Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,4.58334,1.9,3.75,0.0,8.125,7.000003333333334,5.0,Fase 5,A,,,,,,,,,,,,,,,,,
2022,aluno530,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,aluno1330,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,aluno100,Escola Pública,12,2,0.0,6.908335000000001,C,Ágata,Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,9.000020000000001,6.5,4.375,7.5,6.875,7.916665,5.0,Fase 1,M,,,,,,,,,,,,,,,,,
2021,aluno135,Escola Pública,,,0.0,5.788,,Ágata,,,,9.5,4.2,6.3,3.6,6.9,7.3,5.0,Fase 1,A,Veterano,Promovido de Fase,Mantido na Fase atual,Mantido na Fase atual,Não avaliado,-1.0,Fase 2 ,,,,,,,,,,
2020,aluno940,Escola Pública,9,1,0.0,7.745835,B,Ametista,Seu destaque em 2020: A sua boa entrega das lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,9.50002,10.0,6.25,7.25,6.875,7.666665,5.0,ALFA,D,,,,,,,,,,,,,,,,,
2022,aluno625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,aluno624,Escola Pública,,,0.0,5.742,,Ágata,,,,7.1,5.0,7.5,5.1,7.1,6.5,2.5,Fase 3,F,Veterano,Promovido de Fase,Mantido na Fase atual,Mantido na Fase atual,Não avaliado,-3.0,Fase 6 ,,,,,,,,,,
2021,aluno627,Escola Pública,,,0.0,7.442,,Ametista,,,,8.0,8.3,7.5,6.9,7.5,8.0,5.0,ALFA,S,Ingressante,Mantido na Fase atual,Mantido na Fase atual,Não avaliado,Não avaliado,-1.0,Fase 1 ,,,,,,,,,,
2022,aluno1032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,aluno750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,aluno72,,,,0.0,7.728843833635814,,Ametista,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,7.50002,8.602540834845735,8.125,8.833333333333332,5.625,8.083335,5.0,ALFA,D,,Promovido de Fase,Promovido de Fase,,,,Fase 1 ,2022,0.0,227.0,62.0,5.0,9.166666666666666,8.5,,2,0.0
2021,aluno29,Escola Pública,,,0.0,6.342,,Ágata,,,,9.6,5.3,7.5,3.8,7.5,7.9,5.0,Fase 3,D,Ingressante,Promovido de Fase,Promovido de Fase,Mantido na Fase atual,Não avaliado,-2.0,Fase 5 ,,,,,,,,,,
2021,aluno60,Rede Decisão,,,0.0,6.956,,Ametista,,,,7.9,7.5,6.9,6.1,7.2,7.7,5.0,Fase 6,C,Veterano,Mantido na Fase atual,Promovido de Fase,Promovido de Fase + Bolsa,Promovido de Fase,-2.0,Fase 8 ,,,,,,,,,,
2020,aluno916,Rede Decisão/União,13,3,1.0,8.5077105,A,Topázio,Seu destaque em 2020: A sua boa entrega das lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,7.91667,8.7,7.5,7.0,8.59375,9.8333425,10.0,Fase 3,L,,,,,,,,,,,,,,,,,
2021,aluno908,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,aluno893,,,,0.0,5.606945333333334,,Quartzo,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,0.0,7.000000000000001,7.5,3.5,6.458333333333334,5.55556,10.0,Fase 2,P,,Mantido na Fase atual,Mantido na Fase atual,Mantido na Fase atual,,,Fase 2 ,2022,0.0,773.0,144.0,10.0,7.0,0.0,,3,0.0
2020,aluno1164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,aluno218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,aluno121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
