ANO,NOME,INSTITUICAO_ENSINO_ALUNO,IDADE_ALUNO,ANOS_PM,PONTO_VIRADA,INDE,INDE_CONCEITO,PEDRA,DESTAQUE_IEG,DESTAQUE_IDA,DESTAQUE_IPV,IAA,IEG,IPS,IDA,IPP,IPV,IAN,FASE,TURMA,SINALIZADOR_INGRESSANTE,REC_AVA_1,REC_AVA_2,REC_AVA_3,REC_AVA_4,DEFASAGEM,FASE_IDEAL,ANO_INGRESSO,BOLSISTA,CG,CF,CT,NOTA_PORT,NOTA_MAT,NOTA_ING,QTD_AVAL,INDICADO_BOLSA,__index_level_0__
2020,ALUNO-919,Escola Pública,15,0,0,7.1305570000000005,C,Ágata,Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,8.75001,6,7.5,5.333333333333333,7.500000000000001,7.444446666666667,10,Fase 5,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,918
2021,ALUNO-657,Escola Pública,NA,NA,1,8.046,NA,Ametista,NA,NA,NA,9.5,6.3,7.5,8.5,9,10,5,Fase 2,P,Veterano,Promovido de Fase + Bolsa,Promovido de Fase,Promovido de Fase + Bolsa,Não avaliado,-1,Fase 3 ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,656
2020,ALUNO-944,Escola Pública,14,3,0,5.510277666666668,D,Quartzo,Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,9.58335,2.6,6.875,4.333333333333333,8.333333333333334,5.722213333333335,5,Fase 3,H,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,943
2022,ALUNO-870,NA,NA,NA,1,8.427782,NA,Topázio,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,10.00002,10,7.5,8,6.666666666666666,9.555566666666666,5,Fase 2,L,NA,Promovido de Fase,Promovido de Fase,Mantido na Fase atual,NA,NA,Fase 3 ,2022,0,43,4,2,6,10,NA,3,0,869
2021,ALUNO-185,Escola Pública,NA,NA,0,7.906,NA,Ametista,NA,NA,NA,8,10,7.5,5.4,7.2,7.8,10,ALFA,M,Ingressante,Mantido na Fase atual,Mantido na Fase atual,Não avaliado,Não avaliado,0,ALFA  ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,184
2020,ALUNO-657,Escola Pública,11,1,0,8.776947333333334,A,Topázio,Seu destaque em 2020: A sua boa entrega das lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,9.000020000000001,9.6,7.5,8.5,8.958333333333332,8.055560000000002,10,Fase 2,P,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,656
2022,ALUNO-254,NA,NA,NA,0,7.775658894736842,NA,Ametista,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,9.50002,9.649122807017545,7.5,5.416666666666666,5.625,7.499995,10,ALFA,U,NA,Mantido na Fase atual,Mantido na Fase atual,NA,NA,NA,ALFA  ,2022,0,211,55,5,4.333333333333333,6.5,NA,2,0,253
2021,ALUNO-797,Escola Pública,NA,NA,0,2.468,NA,Quartzo,NA,NA,NA,0,0.4,6.3,0,6.9,4.1,2.5,Fase 2,R,Veterano,Mantido na Fase atual,Mantido na Fase atual,Mantido na Fase atual,Não avaliado,-4,Fase 6 ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,796
2020,ALUNO-334,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,333
2022,ALUNO-409,NA,NA,NA,0,6.380177212121212,NA,Ágata,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,5.75,8.393939393939394,5,5.5,6.041666666666666,7.111113333333333,5,Fase 2,U,NA,Mantido na Fase atual,Promovido de Fase,Mantido na Fase atual,NA,NA,Fase 3 ,2022,0,664,121,12,5,6,NA,3,0,408
2021,ALUNO-1024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1023
2021,ALUNO-199,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,198
2020,ALUNO-583,Escola Pública,14,1,0,7.424375833333333,B,Ametista,Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,7.08334,6.2,6.875,7.666666666666667,7.96875,7.2916675,10,Fase 4,E,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,582
2022,ALUNO-1290,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1289
2021,ALUNO-176,Escola Pública,NA,NA,0,5.674,NA,Ágata,NA,NA,NA,7.5,6.3,5,4.3,6.7,5.7,5,Fase 2,I,Veterano,Mantido na Fase atual,Mantido na Fase atual,Mantido na Fase atual,Não avaliado,-1,Fase 3 ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,175
2022,ALUNO-1210,NA,NA,NA,0,7.249737116402116,NA,Ametista,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,7.50002,8.248677248677248,6.875,7.583333333333334,5.625,7.916665,5,ALFA,T,NA,Promovido de Fase,Promovido de Fase,NA,NA,NA,Fase 1 ,2021,0,412,121,2,8.333333333333334,6.833333333333333,NA,2,0,1209
2022,ALUNO-68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,67
2022,ALUNO-835,NA,NA,NA,0,5.661425060985798,NA,Quartzo,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,9.50002,6.182121971595657,5,3.25,6.25,5.999993333333334,5,Fase 2,K,NA,Mantido na Fase atual,Promovido de Fase,Mantido na Fase atual,NA,NA,Fase 3 ,2016,0,769,142,12,2.666666666666667,3.833333333333333,NA,3,0,834
2022,ALUNO-1306,NA,NA,NA,0,5.894096555555556,NA,Quartzo,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,7.91667,6.277777777777778,7.5,5.25,5.46875,4.999995,5,Fase 4,A,NA,Promovido de Fase,Mantido na Fase atual,Mantido na Fase atual,Alocado em Fase anterior,NA,Fase 6 ,2022,0,738,66,13,6,4.5,NA,4,0,1305
2020,ALUNO-462,Escola Pública,16,0,0,7.248334333333334,C,Ágata,Seu destaque em 2020: A sua boa entrega das lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,7.91667,8.2,7.5,6,8.333333333333334,7.666670000000001,5,Fase 5,B,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,461
2022,ALUNO-461,NA,NA,NA,1,7.856253333333334,NA,Ametista,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,9.000020000000001,9,7.5,7.416666666666666,6.5625,8.83334,5,Fase 1,H,NA,Promovido de Fase + Bolsa,Promovido de Fase,NA,NA,NA,Fase 2 ,2022,0,185,43,3,9.5,5.333333333333333,NA,2,1,460
2020,ALUNO-340,Escola Pública,14,2,0,7.595277333333334,B,Ametista,Seu destaque em 2020: A sua boa entrega das lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,8.33334,9.4,7.5,7,8.541666666666666,6.888883333333333,5,Fase 3,C,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,339
2020,ALUNO-619,Escola Pública,10,1,0,7.741390666666668,B,Ametista,Seu destaque em 2020: A sua boa entrega das lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,9.000020000000001,9.7,7.5,4.5,7.291666666666667,7.61111,10,Fase 2,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,618
2022,ALUNO-823,NA,NA,NA,0,7.912811530864198,NA,Ametista,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,9.50002,9.320987654320987,8.75,7.166666666666667,6.458333333333334,8.222226666666668,5,Fase 2,L,NA,Mantido na Fase atual,Promovido de Fase,Mantido na Fase atual,NA,NA,Fase 3 ,2018,1,164,23,6,6.666666666666667,7.666666666666667,NA,3,0,822
2020,ALUNO-1147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1146
2021,ALUNO-1335,Rede Decisão,NA,NA,0,4.831,NA,Quartzo,NA,NA,NA,0,3.8,7.5,3.4,6.7,4.9,10,Fase 2,G,Ingressante,Mantido na Fase atual,Mantido na Fase atual,Mantido na Fase atual,Não avaliado,0,Fase 2 ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1334
2021,ALUNO-240,Escola Pública,NA,NA,0,7.629,NA,Ametista,NA,NA,NA,8.8,6.1,7.5,6.9,7.3,8.4,10,Fase 3,D,Ingressante,Promovido de Fase,Mantido na Fase atual,Mantido na Fase atual,Não avaliado,0,Fase 3 ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,239
2020,ALUNO-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26
2021,ALUNO-936,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,935
2020,ALUNO-1098,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1097
2020,ALUNO-358,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,357
2021,ALUNO-753,Escola Pública,NA,NA,0,4.785,NA,Quartzo,NA,NA,NA,8.3,2.5,7.5,0.8,7.2,4.1,10,Fase 4,E,Veterano,Mantido na Fase atual,Mantido na Fase atual,Promovido de Fase,Mantido na Fase atual,1,Fase 3 ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,752
