nome,ano,ponto_virada,inde,iaa,ieg,ips,ida,ipp,ipv,ian,anos_pm,2020,2021,2022,fem,masc,pedra,bolsista,nao_bolsista,in_fase,ipv_pre_processado_resultado,ieg_pre_processado_resultado,ida_pre_processado_resultado,rec_ava_1_pre_processado_resultado,rec_ava_2_pre_processado_resultado,rec_ava_3_pre_processado_resultado,rec_ava_4_pre_processado_resultado
aluno1,2020,0.0,7.883752,8.500020000000001,8.7,7.5,7.0,5.9375,7.75,10.0,2,1.0,0.0,0.0,1.0,0.0,3,0.0,1.0,1,1.0,1.0,-1.0,,,,
aluno1,2021,0.0,7.319,7.5,6.3,6.9,8.8,7.7,8.1,5.0,3,0.0,1.0,0.0,1.0,0.0,3,1.0,0.0,0,,,,1.0,1.0,0.0,0.0
aluno2,2022,0.0,7.675509353106849,10.00002,7.58170509886757,7.5,8.816666666666666,5.625,7.916665,5.0,0,0.0,0.0,1.0,1.0,0.0,3,1.0,0.0,0,1.0,1.0,1.0,0.0,0.0,,
aluno3,2020,0.0,7.856389666666666,7.91667,8.9,7.5,5.5,8.125,8.111113333333334,10.0,2,1.0,0.0,0.0,1.0,0.0,3,0.0,1.0,1,1.0,1.0,-1.0,,,,
aluno3,2021,0.0,7.021,7.1,6.9,6.3,5.6,7.3,7.2,10.0,3,0.0,1.0,0.0,1.0,0.0,3,0.0,1.0,0,,,,1.0,1.0,0.0,0.0
aluno4,2020,0.0,5.076252,8.000020000000001,4.1,6.875,0.0,7.1875,7.75,5.0,2,1.0,0.0,0.0,0.0,1.0,1,0.0,1.0,1,-1.0,-1.0,-1.0,,,,
aluno4,2022,0.0,7.117065047619048,10.00002,8.071428571428571,7.5,5.083333333333334,6.25,8.055553333333334,5.0,0,0.0,0.0,1.0,0.0,1.0,3,1.0,0.0,0,1.0,1.0,-1.0,1.0,0.0,1.0,
aluno5,2020,0.0,8.077085,7.50002,8.0,7.5,7.5,8.4375,8.166665,10.0,1,1.0,0.0,0.0,0.0,1.0,3,0.0,1.0,1,1.0,1.0,1.0,,,,
aluno5,2021,0.0,7.399,7.4,7.5,7.5,5.4,8.5,7.4,10.0,2,0.0,1.0,0.0,0.0,1.0,3,0.0,1.0,0,,,,1.0,0.0,0.0,0.0
aluno5,2022,0.0,7.232336307992202,6.41668,8.557504873294347,7.5,7.083333333333334,6.458333333333334,7.833336666666667,5.0,3,0.0,0.0,1.0,0.0,1.0,3,1.0,0.0,0,1.0,1.0,-1.0,0.0,1.0,0.0,
aluno6,2022,0.0,7.741668666666667,9.000020000000001,9.333333333333332,7.5,5.5,6.25,7.5,10.0,0,0.0,0.0,1.0,1.0,0.0,3,1.0,0.0,0,1.0,1.0,-1.0,0.0,1.0,0.0,
aluno7,2022,0.0,7.406743477025898,10.00002,9.314954051796157,7.5,5.583333333333334,5.9375,7.91667,5.0,0,0.0,0.0,1.0,0.0,1.0,3,1.0,0.0,0,1.0,1.0,-1.0,1.0,1.0,,
aluno8,2020,1.0,8.381390666666666,8.33334,9.9,4.375,7.333333333333333,8.749999999999998,8.94445,10.0,3,1.0,0.0,0.0,1.0,0.0,3,1.0,0.0,1,1.0,1.0,-1.0,,,,
aluno8,2021,0.0,8.269,8.8,8.6,7.5,7.1,8.0,8.5,10.0,4,0.0,1.0,0.0,1.0,0.0,4,1.0,0.0,0,,,,1.0,1.0,1.0,0.0
