nome,idade,fase,iaa,inde,ponto_virada,sexo,ips,pedra,ipp,ida,bolsista_encoded,pedra_encoded,ian,ieg,ipv,corraca,diff_fase,na_fase,ponto_virada_encoded
ALUNO-1,11.0,2,8.500020000000001,7.883752,Não,F,7.5,Ametista,5.9375,7,0,3,10,8.7,7.75,R,0.0,1,0
ALUNO-3,12.0,3,7.91667,7.856389666666666,Não,F,7.5,Ametista,8.125,5.5,0,3,10,8.9,8.111113333333334,B,0.0,1,0
ALUNO-4,10.0,1,8.000020000000001,5.076252,Não,M,6.875,Quartzo,7.1875,0,0,1,5,4.1,7.75,R,-1.0,0,0
ALUNO-5,10.0,2,7.50002,8.077085,Não,M,7.5,Ametista,8.4375,7.5,0,3,10,8,8.166665,R,0.0,1,0
ALUNO-8,14.0,4,8.33334,8.381390666666666,Sim,F,4.375,Ametista,8.749999999999998,7.333333333333333,1,3,10,9.9,8.94445,R,0.0,1,1
ALUNO-10,13.0,3,5.83333,5.1618745,Não,F,3.75,Quartzo,7.96875,0,0,1,10,5.2,6.8333325,B,0.0,1,0
ALUNO-11,8.0,0,9.000020000000001,9.712504000000001,Sim,M,8.125,Topázio,10,10,0,4,10,10,10.00001,R,0.0,1,1
ALUNO-12,14.0,3,6.25,5.838887333333334,Não,M,5.625,Quartzo,5.624999999999999,6.666666666666667,1,1,5,6,5.277770000000001,B,-1.0,0,0
ALUNO-14,11.0,2,8.000020000000001,6.434585,Não,F,6.875,Ágata,8.4375,0,0,2,10,7.6,7.916665,B,0.0,1,0
ALUNO-15,12.0,2,8.500020000000001,5.162502,Não,F,7.5,Quartzo,8.125,0,0,1,5,4,7.25,B,-1.0,0,0
ALUNO-17,13.0,1,9.500020000000001,7.766252,Não,M,7.5,Ametista,6.5625,10,0,3,5,6.8,7.75,B,-2.0,0,0
ALUNO-18,14.0,3,9.58335,7.2055576666666665,Não,M,7.5,Ágata,7.083333333333334,6.5,0,2,5,7,7.944446666666665,B,-1.0,0,0
ALUNO-28,13.0,3,9.58335,9.354725666666667,Sim,F,6.875,Topázio,10,9,1,4,10,9.6,9.944453333333334,R,0.0,1,1
ALUNO-30,7.0,0,7.9166799999999995,7.125001,Não,F,7.5,Ágata,2.5,4.75,0,2,10,10,6.916665,B,0.0,1,0
ALUNO-33,13.0,3,6.66667,7.013888333333334,Não,M,7.5,Ágata,7.083333333333334,8.666666666666666,0,2,10,4.5,6.277773333333332,P,0.0,1,0
