nome,idade,fase,iaa,inde,ponto_virada,sexo,ips,pedra,ipp,ida,bolsista_encoded,pedra_encoded,ian,ieg,ipv,corraca,diff_fase,na_fase,ponto_virada_encoded,cg,cf,ct
ALUNO-2,11.0,0,10.00002,7.675509353106849,Não,F,7.5,Ametista,5.625,8.816666666666666,0,3,5.0,7.58170509886757,7.916665,B,-2.0,0,0,245.0,66.0,6.0
ALUNO-4,10.0,1,8.000020000000001,5.076252,Não,M,6.875,Quartzo,7.1875,0,0,1,5,4.1,7.75,R,-1.0,0,0,451.0,69.0,3.0
ALUNO-4,12.0,2,10.00002,7.117065047619048,Não,M,7.5,Ametista,6.25,5.083333333333334,0,3,5.0,8.071428571428571,8.055553333333334,R,-1.0,0,0,451.0,69.0,3.0
ALUNO-5,10.0,2,7.50002,8.077085,Não,M,7.5,Ametista,8.4375,7.5,0,3,10,8,8.166665,R,0.0,1,0,415.0,61.0,12.0
ALUNO-5,11.0,2,7.4,7.399,Não,M,7.5,Ametista,8.5,5.4,0,3,10.0,7.5,7.4,R,0.0,1,0,415.0,61.0,12.0
ALUNO-5,12.0,2,6.41668,7.232336307992202,Não,M,7.5,Ametista,6.458333333333334,7.083333333333334,0,3,5.0,8.557504873294347,7.833336666666667,R,-1.0,0,0,415.0,61.0,12.0
ALUNO-6,11.0,2,9.000020000000001,7.741668666666667,Não,F,7.5,Ametista,6.25,5.5,0,3,10.0,9.333333333333332,7.5,B,0.0,1,0,221.0,35.0,2.0
ALUNO-7,11.0,1,10.00002,7.406743477025898,Não,M,7.5,Ametista,5.9375,5.583333333333334,0,3,5.0,9.314954051796157,7.91667,B,-1.0,0,0,357.0,93.0,7.0
ALUNO-8,14.0,4,8.33334,8.381390666666666,Sim,F,4.375,Ametista,8.749999999999998,7.333333333333333,1,3,10,9.9,8.94445,R,0.0,1,1,397.0,26.0,6.0
ALUNO-8,15.0,5,8.8,8.269,Não,F,7.5,Topázio,8.0,7.1,1,4,10.0,8.6,8.5,R,0.0,1,0,397.0,26.0,6.0
ALUNO-8,16.0,5,9.16668,7.289795442501942,Não,F,5.0,Ametista,7.65625,7.144444444444445,1,3,5.0,8.268065268065268,7.6250025,R,-1.0,0,0,397.0,26.0,6.0
ALUNO-9,8.0,0,9.000020000000001,5.665746204655248,Não,M,5.0,Quartzo,3.75,2.133333333333333,0,1,10.0,6.820377689942907,5.50001,P,0.0,1,0,767.0,184.0,9.0
ALUNO-11,8.0,0,9.000020000000001,9.712504000000001,Sim,M,8.125,Topázio,10,10,0,4,10,10,10.00001,R,0.0,1,1,40.0,5.0,1.0
ALUNO-11,9.0,1,9.0,8.990,Sim,M,6.3,Topázio,7.7,8.8,1,4,10.0,10.0,9.7,R,0.0,1,1,40.0,5.0,1.0
ALUNO-11,10.0,1,8.000020000000001,8.464686539682539,Sim,M,7.5,Topázio,7.083333333333332,9.833333333333332,1,4,5.0,9.198412698412698,9.50001,R,-1.0,0,1,40.0,5.0,1.0
ALUNO-16,11.0,1,8.500020000000001,6.995504201058202,Não,F,6.875,Ágata,4.791666666666666,6.333333333333334,0,2,5.0,9.33862433862434,6.722219999999999,R,-1.0,0,0,489.0,129.0,9.0
ALUNO-17,13.0,1,9.500020000000001,7.766252,Não,M,7.5,Ametista,6.5625,10,0,3,5,6.8,7.75,B,-2.0,0,0,580.0,142.0,6.0
ALUNO-17,14.0,1,9.5,6.140,Não,M,7.5,Ágata,8.4,2.6,0,2,5.0,4.2,8.8,B,-2.0,0,0,580.0,142.0,6.0
ALUNO-17,15.0,1,9.50002,6.723325934837093,Não,M,7.5,Ágata,5.9375,5.5,0,2,5.0,6.647869674185464,7.5,B,-2.0,0,0,580.0,142.0,6.0
ALUNO-18,14.0,3,9.58335,7.2055576666666665,Não,M,7.5,Ágata,7.083333333333334,6.5,0,2,5,7,7.944446666666665,B,-1.0,0,0,746.0,68.0,7.0
ALUNO-18,15.0,4,10.0,5.666,Não,M,6.3,Ágata,7.7,5.3,0,2,5.0,3.3,5.2,B,-1.0,0,0,746.0,68.0,7.0
ALUNO-18,16.0,4,0.0,5.845721955648926,Não,M,8.125,Quartzo,7.8125,5.222222222222222,0,1,5.0,6.287640056022409,7.2499975,B,-2.0,0,0,746.0,68.0,7.0
ALUNO-19,13.0,2,9.0,6.751,Não,M,7.5,Ágata,7.7,4.6,0,2,5.0,6.3,8.3,R,-1.0,0,0,188.0,29.0,2.0
